date,sector,domestic_mean,domestic_std,domestic_count
2020-07-31,2차전지,0.51016766,0.3917116,4
2020-08-02,2차전지,0.5000685,,1
2020-08-03,2차전지,0.8934199,0.18443586,3
2020-08-04,2차전지,0.5772101,0.16139917,5
2020-08-05,2차전지,0.69214106,0.36771458,4
2020-08-06,2차전지,0.95391154,0.13428126,16
2020-08-07,2차전지,0.788733,0.25876024,3
2020-08-09,2차전지,0.86916214,,1
2020-08-10,2차전지,0.8694566,0.27030885,23
2020-08-11,2차전지,0.7500915,0.2717396,6
2020-08-12,2차전지,0.605917,0.353165,3
2020-08-13,2차전지,0.99797094,0.0021556383,5
2020-08-14,2차전지,0.4375348,0.417155,8
2020-08-17,2차전지,0.9999172,,1
2020-08-18,2차전지,0.7500042,0.35342354,2
2020-08-19,2차전지,0.8749689,0.24991117,4
2020-08-20,2차전지,0.97483224,,1
2020-08-21,2차전지,0.77230084,0.2653497,4
2020-08-23,2차전지,0.5000282,,1
2020-08-24,2차전지,0.68170214,0.25074795,5
2020-08-25,2차전지,0.72696906,0.25586906,7
2020-08-26,2차전지,0.7019619,0.27079242,5
2020-08-27,2차전지,0.62510455,0.24987027,4
2020-08-28,2차전지,0.6666511,0.28862292,3
2020-08-31,2차전지,0.5000111,,1
2020-09-01,2차전지,0.99978983,,1
2020-09-03,2차전지,0.666665,0.2885278,3
2020-09-04,2차전지,0.66640955,0.2577762,6
2020-09-06,2차전지,0.50022197,0.0003137833,2
2020-09-07,2차전지,0.5985482,0.19586603,6
2020-09-08,2차전지,0.70226586,0.27175856,5
2020-09-09,2차전지,0.66665363,0.28862315,3
2020-09-10,2차전지,0.65823233,0.23587973,4
2020-09-11,2차전지,0.6267653,0.32863516,3
2020-09-13,2차전지,0.47268137,0.038559392,2
2020-09-14,2차전지,0.79990315,0.2732427,5
2020-09-15,2차전지,0.7993495,0.2836402,2
2020-09-16,2차전지,0.7498763,0.35288158,2
2020-09-17,2차전지,0.65676844,0.32542196,5
2020-09-18,2차전지,0.5716901,0.3417697,7
2020-09-19,2차전지,0.49999967,,1
2020-09-21,2차전지,0.9109719,0.21622339,6
2020-09-22,2차전지,0.50646305,0.4264177,3
2020-09-23,2차전지,0.8330695,0.28834814,3
2020-09-24,2차전지,0.7444067,0.2811576,4
2020-09-25,2차전지,0.71457267,0.28666863,8
2020-09-26,2차전지,0.00040267117,,1
2020-09-28,2차전지,0.6666806,0.2885857,3
2020-09-29,2차전지,0.8787329,0.1915835,8
2020-10-01,2차전지,0.51283044,,1
2020-10-05,2차전지,0.6889006,0.28474408,5
2020-10-06,2차전지,0.8206678,0.2492682,6
2020-10-07,2차전지,0.6667385,0.28853646,3
2020-10-08,2차전지,0.8285141,0.28424144,3
2020-10-12,2차전지,0.74689233,0.34914124,2
2020-10-13,2차전지,0.99991095,,1
2020-10-14,2차전지,0.49892503,,1
2020-10-15,2차전지,0.99988955,,1
2020-10-16,2차전지,0.749825,0.41792288,6
2020-10-19,2차전지,0.8056714,0.24470143,6
2020-10-20,2차전지,0.83038,0.2559836,6
2020-10-21,2차전지,0.99825364,,1
2020-10-22,2차전지,0.9999152,1.5172866e-06,2
2020-10-23,2차전지,0.66664857,0.2886226,3
2020-10-25,2차전지,0.99991345,2.486664e-06,2
2020-10-26,2차전지,0.8638737,0.24275428,4
2020-10-27,2차전지,0.66678214,0.25785628,6
2020-10-28,2차전지,0.9014647,,1
2020-10-29,2차전지,0.8748413,0.2501218,4
2020-10-30,2차전지,0.99978054,0.0001819058,2
