date,sector,global_mean,global_std,global_count
2022-08-02,2차전지,0.5309738,0.01716013,2
2022-08-03,2차전지,0.04153888,0.02405285,3
2022-08-07,2차전지,0.5318541,,1
2022-08-08,2차전지,0.49813965,,1
2022-08-09,2차전지,0.3722913,0.28946927,3
2022-08-10,2차전지,0.5611411,,1
2022-08-11,2차전지,0.5624122,,1
2022-08-12,2차전지,0.5299766,,1
2022-08-13,2차전지,0.5072211,,1
2022-08-16,2차전지,0.14643092,,1
2022-08-18,2차전지,0.49294215,,1
2022-08-19,2차전지,0.4653136,,1
2022-08-22,2차전지,0.17969814,,1
2022-08-25,2차전지,0.87196076,,1
2022-08-26,2차전지,0.72405165,,1
2022-08-27,2차전지,0.495584,,1
2022-08-29,2차전지,0.38950953,0.23156875,4
2022-08-30,2차전지,0.5489204,0.06301084,2
2022-08-31,2차전지,0.64834774,0.11954359,2
2022-09-01,2차전지,0.5630007,,1
2022-09-04,2차전지,0.5125319,,1
2022-09-07,2차전지,0.82592833,0.15951714,2
2022-09-08,2차전지,0.5372727,0.013218619,3
2022-09-11,2차전지,0.55301875,,1
2022-09-12,2차전지,0.1606396,,1
2022-09-14,2차전지,0.6019869,,1
2022-09-16,2차전지,0.43132937,0.10343707,3
2022-09-19,2차전지,0.54652834,,1
2022-09-20,2차전지,0.4840425,0.106143236,3
2022-09-22,2차전지,0.51432884,,1
2022-09-26,2차전지,0.53189707,0.046942696,2
2022-09-27,2차전지,0.27367443,,1
2022-09-30,2차전지,0.527202,,1
2022-10-05,2차전지,0.51471466,,1
2022-10-06,2차전지,0.5161843,,1
2022-10-07,2차전지,0.5216956,0.06660768,2
2022-10-12,2차전지,0.5574398,0.5660303,2
2022-10-13,2차전지,0.4998981,0.004945429,3
2022-10-14,2차전지,0.37986326,0.15422246,3
2022-10-19,2차전지,0.6444942,0.25979224,5
2022-10-20,2차전지,0.49126273,,1
2022-10-21,2차전지,0.61829895,,1
2022-10-25,2차전지,0.9220247,,1
2022-10-26,2차전지,0.5727003,,1
2022-10-28,2차전지,0.528743,0.015269424,2
2022-10-30,2차전지,0.5136161,,1
