date,ticker,name,end,AUM,log_return_t+5
2024-02-22,459580,KODEX CD금리액티브(합성),1009509,488583,0.0010029549892216494
2024-02-23,157450,TIGER 단기통안채,105095,5285,0.0005136888680521423
2024-02-23,423160,KODEX KOFR금리액티브(합성),104148,464827,0.0008062194505225051
2024-02-23,459580,KODEX CD금리액티브(합성),1009818,532305,0.0007790448235862613
2024-02-26,157450,TIGER 단기통안채,105105,16808,0.0006562709778581421
2024-02-26,423160,KODEX KOFR금리액티브(합성),104158,312979,0.0007581756163475006
2024-02-26,459580,KODEX CD금리액티브(합성),1009907,374083,0.0007868915173805391
2024-02-27,157450,TIGER 단기통안채,105110,6806,0.0007037766465458617
2024-02-27,423160,KODEX KOFR금리액티브(합성),104168,320913,0.0007101386988122016
2024-02-27,459580,KODEX CD금리액티브(합성),1010011,427311,0.0007818639638372815
2024-02-28,157450,TIGER 단기통안채,105149,33845,0.0006655004809061893
2024-02-28,423160,KODEX KOFR금리액티브(합성),104178,348400,0.0007580301176179916
2024-02-28,459580,KODEX CD금리액티브(합성),1010109,721921,0.0008797159747935268
2024-02-29,157450,TIGER 단기통안채,105154,9126,0.0007509970075432193
2024-02-29,423160,KODEX KOFR금리액티브(합성),104217,310088,0.0005659662585788539
2024-02-29,459580,KODEX CD금리액티브(합성),1010522,330974,0.0006835713156334577
2024-03-04,157450,TIGER 단기통안채,105149,20644,0.0009410781266510071
2024-03-04,423160,KODEX KOFR금리액티브(합성),104232,31081,0.0005562962324905385
2024-03-04,459580,KODEX CD금리액티브(합성),1010605,174859,0.0006795598652544754
2024-03-05,157450,TIGER 단기통안채,105174,29357,0.000798357706637276
2024-03-05,423160,KODEX KOFR금리액티브(합성),104237,46315,0.0006521468328681834
2024-03-05,459580,KODEX CD금리액티브(합성),1010702,406191,0.0006903707406689108
2024-03-06,157450,TIGER 단기통안채,105184,37823,0.0007982818358662769
2024-03-06,423160,KODEX KOFR금리액티브(합성),104242,321644,0.0007000484565971021
2024-03-06,459580,KODEX CD금리액티브(합성),1010801,390691,0.0006863486129073948
2024-03-07,157450,TIGER 단기통안채,105219,8027,0.0007505332463253467
2024-03-07,423160,KODEX KOFR금리액티브(합성),104257,493263,0.0007382869203134135
2024-03-07,459580,KODEX CD금리액티브(합성),1010998,502177,0.0006931339969007411
2024-03-08,157450,TIGER 단기통안채,105233,14808,0.000664969435909768
2024-03-08,423160,KODEX KOFR금리액티브(합성),104276,469730,0.0006998202802090958
2024-03-08,459580,KODEX CD금리액티브(합성),1011213,562964,0.0006860690687862103
2024-03-11,157450,TIGER 단기통안채,105248,35128,0.0006173983032446984
2024-03-11,423160,KODEX KOFR금리액티브(합성),104290,379357,0.0007093082625075908
2024-03-11,459580,KODEX CD금리액티브(합성),1011292,572219,0.0006850273364449322
2024-03-12,157450,TIGER 단기통안채,105258,6399,0.0007027874357348196
2024-03-12,423160,KODEX KOFR금리액티브(합성),104305,327481,0.0006613027905508773
2024-03-12,459580,KODEX CD금리액티브(합성),1011400,543061,0.0006800139427678431
2024-03-13,157450,TIGER 단기통안채,105268,11615,0.0006552551218508285
2024-03-13,423160,KODEX KOFR금리액티브(합성),104315,358848,0.0006612394167113678
2024-03-13,459580,KODEX CD금리액티브(합성),1011495,483244,0.0006769862019950779
2024-03-14,157450,TIGER 단기통안채,105298,7198,0.0006550684970676457
