date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2023-08-18,423160,KODEX KOFR금리액티브(합성),102197,78536,0.000665160298805,단기자금,0.0630819331495981,0.5839022559954322,14.0,-0.04314829243554,0.6242599986252274,9.0
2023-08-18,459580,KODEX CD금리액티브(합성),990760,1988876,0.0006921581585235,단기자금,0.0630819331495981,0.5839022559954322,14.0,-0.04314829243554,0.6242599986252274,9.0
2023-08-21,157450,TIGER 단기통안채,103209,996171,0.0006295918031717,단기자금,-0.2704280513987344,0.484744602210339,7.0,-0.2308633226369108,0.3968282756254845,14.0
2023-08-21,423160,KODEX KOFR금리액티브(합성),102207,242024,0.0007139818482446,단기자금,-0.2704280513987344,0.484744602210339,7.0,-0.2308633226369108,0.3968282756254845,14.0
2023-08-21,459580,KODEX CD금리액티브(합성),990909,2087533,0.000707181146021,단기자금,-0.2704280513987344,0.484744602210339,7.0,-0.2308633226369108,0.3968282756254845,14.0
2023-08-22,157450,TIGER 단기통안채,103219,423515,0.0005714368887232,단기자금,-0.1580552759114653,0.7749520428507951,3.0,-0.1136482376605272,0.1516026540014171,2.0
2023-08-22,423160,KODEX KOFR금리액티브(합성),102220,56915,0.0006845631287824,단기자금,-0.1580552759114653,0.7749520428507951,3.0,-0.1136482376605272,0.1516026540014171,2.0
2023-08-22,459580,KODEX CD금리액티브(합성),990954,2027718,0.0007212667572158,단기자금,-0.1580552759114653,0.7749520428507951,3.0,-0.1136482376605272,0.1516026540014171,2.0
2023-08-23,157450,TIGER 단기통안채,103224,642731,0.0006682258852048,단기자금,0.0563078537659748,0.1796755064978363,10.0,0.1551924720406532,0.5118767726115653,5.0
2023-08-23,423160,KODEX KOFR금리액티브(합성),102230,76930,0.0006844961886578,단기자금,0.0563078537659748,0.1796755064978363,10.0,0.1551924720406532,0.5118767726115653,5.0
2023-08-23,459580,KODEX CD금리액티브(합성),991059,2041646,0.0007111073754035,단기자금,0.0563078537659748,0.1796755064978363,10.0,0.1551924720406532,0.5118767726115653,5.0
2023-08-24,157450,TIGER 단기통안채,103259,426314,0.0006196086982175,단기자금,0.0907267810596915,0.3015180966142776,11.0,-0.0230243727564811,0.4959992088838585,7.0
2023-08-24,423160,KODEX KOFR금리액티브(합성),102240,71088,0.000674654998237,단기자금,0.0907267810596915,0.3015180966142776,11.0,-0.0230243727564811,0.4959992088838585,7.0
2023-08-24,459580,KODEX CD금리액티브(합성),991337,1799508,0.0007361082592982,단기자금,0.0907267810596915,0.3015180966142776,11.0,-0.0230243727564811,0.4959992088838585,7.0
2023-08-25,157450,TIGER 단기통안채,103264,1387826,0.0008131183535144,단기자금,0.1795343102821789,0.4044672368599985,10.0,-0.0928309218337138,0.5152780286251171,12.0
2023-08-25,423160,KODEX KOFR금리액티브(합성),102265,185097,0.0006744901257178,단기자금,0.1795343102821789,0.4044672368599985,10.0,-0.0928309218337138,0.5152780286251171,12.0
2023-08-25,459580,KODEX CD금리액티브(합성),991446,2031027,0.000716877349399,단기자금,0.1795343102821789,0.4044672368599985,10.0,-0.0928309218337138,0.5152780286251171,12.0
2023-08-28,157450,TIGER 단기통안채,103274,327385,0.0006679024723528,단기자금,0.0233568739139526,0.4222450242160731,9.0,-0.2899469137191772,0.4841024202812445,6.0
2023-08-28,423160,KODEX KOFR금리액티브(합성),102280,79986,0.0007232425034526,단기자금,0.0233568739139526,0.4222450242160731,9.0,-0.2899469137191772,0.4841024202812445,6.0
2023-08-28,459580,KODEX CD금리액티브(합성),991610,2144204,0.0007268361627108,단기자금,0.0233568739139526,0.4222450242160731,9.0,-0.2899469137191772,0.4841024202812445,6.0
2023-08-29,157450,TIGER 단기통안채,103278,372538,0.0007743084844573,단기자금,0.1210191235667379,0.3308753512396482,9.0,-0.5262772484372059,0.3855471941179507,6.0
2023-08-29,423160,KODEX KOFR금리액티브(합성),102290,73747,0.0007231718239086,단기자금,0.1210191235667379,0.3308753512396482,9.0,-0.5262772484372059,0.3855471941179507,6.0
2023-08-29,459580,KODEX CD금리액티브(합성),991669,2190345,0.0007005932143542,단기자금,0.1210191235667379,0.3308753512396482,9.0,-0.5262772484372059,0.3855471941179507,6.0
2023-08-30,157450,TIGER 단기통안채,103293,2656503,0.0007258263851692,단기자금,2.436832983221393e-05,5.847825311982747e-05,4.0,-0.1852256200379795,0.4023392171770456,9.0
2023-08-30,423160,KODEX KOFR금리액티브(합성),102300,83499,0.0006742594395259,단기자금,2.436832983221393e-05,5.847825311982747e-05,4.0,-0.1852256200379795,0.4023392171770456,9.0
2023-08-30,459580,KODEX CD금리액티브(합성),991764,2235826,0.0007055641075908,단기자금,2.436832983221393e-05,5.847825311982747e-05,4.0,-0.1852256200379795,0.4023392171770456,9.0
2023-08-31,157450,TIGER 단기통안채,103323,529418,0.0005708618717719,단기자금,-0.2493933998048305,0.5001482946942746,4.0,0.1320128209061092,0.519241955429009,9.0
2023-08-31,423160,KODEX KOFR금리액티브(합성),102309,64083,0.0007328047696439,단기자금,-0.2493933998048305,0.5001482946942746,4.0,0.1320128209061092,0.519241955429009,9.0
2023-08-31,459580,KODEX CD금리액티브(합성),992067,2268016,0.0007013195372174,단기자금,-0.2493933998048305,0.5001482946942746,4.0,0.1320128209061092,0.519241955429009,9.0
2023-09-01,157450,TIGER 단기통안채,103348,498519,0.0005223700239707,단기자금,-0.0728325510012487,0.2551767742189194,13.0,,,
2023-09-01,423160,KODEX KOFR금리액티브(합성),102334,43500,0.0007326258124038,단기자금,-0.0728325510012487,0.2551767742189194,13.0,,,
