date,section,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-08-07,global_macro,-0.0029,0.0028,3.0,-0.3882,0.4833,4.0
2019-08-08,domestic_core,0.0661,0.5486,24.0,,,
2019-08-08,global_macro,0.1599,0.4263,7.0,-0.2884,0.5086,3.0
2019-08-09,domestic_core,-0.0027,0.4578,10.0,,,
2019-08-09,global_macro,0.0668,0.1995,9.0,0.1808,,1.0
2019-08-10,domestic_core,-0.001,,1.0,,,
2019-08-10,global_macro,0.375,0.7605,2.0,,,
2019-08-11,domestic_core,-0.1066,0.2131,4.0,,,
2019-08-11,global_macro,0.0145,0.0244,3.0,,,
2019-08-12,domestic_core,0.0868,0.457,20.0,,,
2019-08-12,global_macro,-0.1994,0.4464,5.0,-0.8492,,1.0
2019-08-13,domestic_core,-0.1673,0.8347,13.0,,,
2019-08-13,global_macro,0.1489,0.5737,4.0,-0.2101,0.5692,3.0
2019-08-14,domestic_core,-0.1107,0.7149,24.0,,,
2019-08-14,global_macro,0.0048,0.008,3.0,-0.7281,0.4008,5.0
2019-08-15,domestic_core,0.3283,0.5684,3.0,,,
2019-08-15,global_macro,-0.0094,0.0154,4.0,-0.8043,0.0371,2.0
2019-08-16,domestic_core,-0.3516,0.5928,19.0,,,
2019-08-16,global_macro,-0.5269,0.4664,7.0,-0.9312,,1.0
2019-08-17,domestic_core,0.002,0.005,2.0,,,
2019-08-17,global_macro,-0.0001,0.0003,2.0,-0.443,,1.0
2019-08-18,domestic_core,-0.0572,1.3116,2.0,,,
