date,DXY,UUP
2020-02-19,116.7829,23.199132919311523
2020-02-20,117.2454,23.26810073852539
2020-02-21,117.0473,23.130163192749023
2020-02-24,117.4018,23.138784408569336
2020-02-25,117.2425,23.0698184967041
2020-02-26,117.405,23.087059020996094
2020-02-27,117.3678,22.94912338256836
2020-02-28,117.6568,22.87153434753418
2020-03-02,116.8144,22.750839233398438
2020-03-03,116.4958,22.656007766723633
2020-03-04,116.7802,22.733598709106445
2020-03-05,116.7901,22.56117820739746
2020-03-06,116.7106,22.43186378479004
2020-03-09,117.1871,22.190473556518555
2020-03-10,117.9027,22.5180721282959
2020-03-11,118.2505,22.55255889892578
2020-03-12,120.4883,22.793947219848633
2020-03-13,120.4388,23.656047821044922
2020-03-16,120.9352,22.897396087646484
2020-03-17,122.4816,23.30258560180664
2020-03-18,124.1623,23.656047821044922
2020-03-19,125.0587,24.216411590576172
2020-03-20,124.9362,24.147445678710938
2020-03-23,126.1262,24.112960815429688
2020-03-24,125.5001,23.837087631225586
2020-03-25,124.7916,23.61294174194336
2020-03-26,122.4308,23.233617782592773
2020-03-27,122.4007,23.043954849243164
2020-03-30,123.2883,23.14740753173828
2020-03-31,122.5301,23.130163192749023
2020-04-01,123.7933,23.276721954345703
2020-04-02,123.5916,23.397417068481445
2020-04-03,124.4152,23.526735305786133
2020-04-06,124.16,23.53535270690918
2020-04-07,123.0956,23.319828033447266
2020-04-08,123.2216,23.406038284301758
2020-04-09,122.476,23.233617782592773
2020-04-10,122.1592,23.233617782592773
2020-04-13,122.5203,23.199132919311523
2020-04-14,122.1121,23.0698184967041
2020-04-15,123.0752,23.242237091064453
2020-04-16,123.4615,23.345691680908203
2020-04-17,122.871,23.285343170166016
2020-04-20,123.1033,23.362934112548828
2020-04-21,123.9116,23.397417068481445
2020-04-22,123.9256,23.466386795043945
2020-04-23,123.7542,23.475008010864258
2020-04-24,124.1615,23.423280715942383
2020-04-27,123.8843,23.362934112548828
2020-04-28,123.3693,23.337072372436523
2020-04-29,122.7782,23.242237091064453
2020-04-30,122.327,23.09568214416504
2020-05-01,123.1492,23.121543884277344
2020-05-04,123.2117,23.250858306884766
2020-05-05,122.803,23.26810073852539
2020-05-06,123.609,23.380176544189453
2020-05-07,123.1249,23.311208724975586
2020-05-08,122.5379,23.30258560180664
2020-05-11,123.2333,23.388795852661133
2020-05-12,123.0592,23.345691680908203
2020-05-13,123.5408,23.388795852661133
2020-05-14,123.6429,23.41465950012207
2020-05-15,123.5991,23.431901931762695
2020-05-18,122.7968,23.242237091064453
2020-05-19,122.5655,23.22499656677246
2020-05-20,122.1007,23.14740753173828
2020-05-21,122.0914,23.199132919311523
2020-05-22,122.3211,23.26810073852539
2020-05-25,122.3211,23.26810073852539
2020-05-26,121.3864,23.09568214416504
2020-05-27,121.5677,23.087059020996094
2020-05-28,121.0138,22.96636390686035
2020-05-29,120.9458,22.931882858276367
2020-06-01,120.2686,22.802566528320312
2020-06-02,119.6854,22.776702880859375
2020-06-03,119.2556,22.63876724243164
2020-06-04,119.3014,22.55255889892578
2020-06-05,118.8138,22.595661163330078
2020-06-08,118.6621,22.535316467285156
2020-06-09,118.5893,22.466346740722656
2020-06-10,118.5231,22.354272842407227
2020-06-11,119.2347,22.57842254638672
2020-06-12,119.6645,22.63876724243164
2020-06-15,119.9539,22.543935775756836
2020-06-16,119.567,22.612903594970703
2020-06-17,119.9105,22.63014793395996
2020-06-18,120.2173,22.716358184814453
2020-06-19,120.2186,22.742219924926758
2020-06-22,119.7532,22.621524810791016
2020-06-23,119.3285,22.543935775756836
2020-06-24,119.9744,22.647388458251953
2020-06-25,120.2997,22.68187141418457
2020-06-26,120.533,22.716358184814453
2020-06-29,120.6658,22.724979400634766
2020-06-30,120.4649,22.690494537353516
2020-07-01,120.0808,22.63876724243164
2020-07-02,119.8555,22.656007766723633
2020-07-03,119.8555,22.656007766723633
2020-07-06,119.2852,22.535316467285156
2020-07-07,119.5717,22.5870418548584
2020-07-08,119.5525,22.466346740722656
2020-07-09,119.5129,22.543935775756836
2020-07-10,119.3509,22.50945281982422
2020-07-13,119.1891,22.47496795654297
2020-07-14,119.3901,22.43186378479004
2020-07-15,119.0331,22.371517181396484
2020-07-16,118.9275,22.449106216430664
2020-07-17,119.124,22.354272842407227
2020-07-20,119.0483,22.31978988647461
2020-07-21,118.4042,22.181854248046875
2020-07-22,118.1337,22.12150764465332
2020-07-23,118.0613,22.07840347290039
2020-07-24,118.1329,21.983572006225586
2020-07-27,117.3869,21.819772720336914
2020-07-28,117.3189,21.85425567626953
2020-07-29,117.2126,21.750804901123047
2020-07-30,117.4008,21.664594650268555
2020-07-31,117.2082,21.79391098022461
2020-08-03,117.8074,21.79391098022461
2020-08-04,117.7833,21.716320037841797
2020-08-05,116.8736,21.621488571166992
2020-08-06,117.0422,21.621488571166992
2020-08-07,117.6239,21.750804901123047
2020-08-10,117.5821,21.785287857055664
2020-08-11,117.3781,21.819772720336914
2020-08-12,117.2559,21.750804901123047
2020-08-13,117.1193,21.7421817779541
2020-08-14,116.9395,21.707698822021484
2020-08-17,116.749,21.612869262695312
2020-08-18,116.5593,21.49217414855957
2020-08-19,116.567,21.664594650268555
2020-08-20,116.8126,21.604248046875
2020-08-21,117.0572,21.707698822021484
2020-08-24,116.912,21.7421817779541
2020-08-25,116.8206,21.664594650268555
2020-08-26,116.6243,21.63873291015625
2020-08-27,116.649,21.664594650268555
2020-08-28,115.9374,21.49217414855957
2020-08-31,115.7586,21.466310501098633
2020-09-01,115.5687,21.509416580200195
2020-09-02,116.0304,21.587005615234375
2020-09-03,116.0685,21.595624923706055
2020-09-04,116.0347,21.630111694335938
2020-09-07,116.0347,21.630111694335938
2020-09-08,116.4618,21.7421817779541
2020-09-09,116.1291,21.707698822021484
2020-09-10,115.8806,21.750804901123047
2020-09-11,116.0866,21.707698822021484
2020-09-14,115.6428,21.655973434448242
2020-09-15,115.5908,21.673213958740234
2020-09-16,115.3537,21.699077606201172
2020-09-17,115.4392,21.621488571166992
2020-09-18,115.2395,21.64735221862793
2020-09-21,116.378,21.802532196044922
2020-09-22,116.5438,21.880117416381836
2020-09-23,117.2526,22.000812530517578
2020-09-24,117.5473,21.96632957458496
2020-09-25,117.8679,22.026674270629883
2020-09-28,117.6178,21.95770835876465
2020-09-29,117.526,21.85425567626953
2020-09-30,116.946,21.85425567626953
2020-10-01,116.7227,21.819772720336914
2020-10-02,116.7321,21.871498107910156
2020-10-05,116.1767,21.776668548583984
2020-10-06,116.2681,21.837013244628906
2020-10-07,116.3447,21.81114959716797
2020-10-08,116.1657,21.802532196044922
2020-10-09,115.2757,21.673213958740234
2020-10-12,115.2757,21.64735221862793
2020-10-13,115.9107,21.776668548583984
2020-10-14,115.6872,21.72494125366211
2020-10-15,116.0964,21.828393936157227
2020-10-16,115.7679,21.802532196044922
2020-10-19,115.4031,21.73356056213379
2020-10-20,115.2485,21.664594650268555
2020-10-21,114.9108,21.552520751953125
2020-10-22,115.1158,21.63873291015625
2020-10-23,115.0126,21.587005615234375
2020-10-26,115.2797,21.664594650268555
2020-10-27,115.0131,21.621488571166992
2020-10-28,115.8023,21.759424209594727
2020-10-29,116.3069,21.84563446044922
2020-10-30,116.1354,21.871498107910156
2020-11-02,116.2361,21.897361755371094
2020-11-03,115.4802,21.776668548583984
